score,quantile,threshold,precision,recall,f1,pr_auc,roc_auc,predicted_count
mean_abs,0.85,0.16478270143270493,0.34831460674157305,0.5821014782261287,0.43583607538139396,0.4457649777934314,0.556307989582895,4183
mean_abs,0.9,0.17266050577163697,0.36743273542600896,0.5237714742309229,0.4318893098336353,0.4457649777934314,0.556307989582895,3568
mean_abs,0.925,0.1784454565495253,0.38515674984005116,0.48102277267279264,0.4277846864451945,0.4457649777934314,0.556307989582895,3126
mean_abs,0.95,0.18487359955906868,0.4055102832751261,0.4174990011985617,0.41141732283464566,0.4457649777934314,0.556307989582895,2577
mean_abs,0.975,0.20156191848218438,0.4522405660377358,0.306432281262485,0.3653250773993808,0.4457649777934314,0.556307989582895,1696
mean_abs,0.99,0.22208054438233354,0.5170068027210885,0.21254494606472232,0.3012457531143828,0.4457649777934314,0.556307989582895,1029
max_feature_mse,0.5,0.2554625868797302,0.3487114795458641,0.7730723132241311,0.48062593144560356,0.42938943840991317,0.5520245571113769,5549
max_feature_mse,0.6,0.28103055953979494,0.35460565924142085,0.7059528565721135,0.4720812182741117,0.42938943840991317,0.5520245571113769,4983
max_feature_mse,0.7,0.3175347328186035,0.3626062322946176,0.6136636036755893,0.4558539842706633,0.42938943840991317,0.5520245571113769,4236
max_feature_mse,0.8,0.3674472689628601,0.3706714844926227,0.4918098282061526,0.4227335164835165,0.42938943840991317,0.5520245571113769,3321
max_feature_mse,0.85,0.40943431407213204,0.3841485183862906,0.4298841390331602,0.4057315233785822,0.42938943840991317,0.5520245571113769,2801
max_feature_mse,0.9,0.457536843419075,0.3924050632911392,0.3467838593687575,0.368186638388123,0.42938943840991317,0.5520245571113769,2212
max_feature_mse,0.925,0.5020340859889985,0.3984840281537629,0.2940471434278865,0.33839080459770116,0.42938943840991317,0.5520245571113769,1847
max_feature_mse,0.95,0.5531807392835615,0.4010088272383354,0.2540950858969237,0.31107850330154074,0.42938943840991317,0.5520245571113769,1586
max_feature_mse,0.975,0.5977802261710167,0.41232575201760824,0.2245305633240112,0.2907397827211588,0.42938943840991317,0.5520245571113769,1363
max_feature_mse,0.99,0.6899627476930572,0.452286282306163,0.18178186176588093,0.2593331433456825,0.42938943840991317,0.5520245571113769,1006
top5_feature_mse,0.5,0.18867720663547516,0.33614369501466274,0.7327207351178586,0.4608619173262973,0.42548872180355574,0.5510096302493128,5456
top5_feature_mse,0.6,0.20077270567417144,0.34422011084718923,0.6947662804634439,0.4603573792190602,0.42548872180355574,0.5510096302493128,5052
top5_feature_mse,0.7,0.2195696637034416,0.35668929275235384,0.6508190171793847,0.46082036775106083,0.42548872180355574,0.5510096302493128,4567
top5_feature_mse,0.8,0.23999821543693545,0.36826495304003953,0.5952856572113464,0.4550313024889296,0.42548872180355574,0.5510096302493128,4046
top5_feature_mse,0.85,0.25723004937171934,0.3730811403508772,0.5437475029964043,0.4425296699723622,0.42548872180355574,0.5510096302493128,3648
top5_feature_mse,0.9,0.28921884596347813,0.38558313498809926,0.45305633240111864,0.4166054371785452,0.42548872180355574,0.5510096302493128,2941
top5_feature_mse,0.925,0.30317922085523613,0.3932542624166049,0.4238913304035158,0.40799846183426264,0.42548872180355574,0.5510096302493128,2698
top5_feature_mse,0.95,0.3630911096930502,0.4136069114470842,0.3060327606871754,0.35177956371986224,0.42548872180355574,0.5510096302493128,1852
top5_feature_mse,0.975,0.4326816007494926,0.4338461538461538,0.22532960447463043,0.29660794109913224,0.42548872180355574,0.5510096302493128,1300
top5_feature_mse,0.99,0.4711127334833143,0.4365296803652968,0.1909708349980024,0.26570316842690384,0.42548872180355574,0.5510096302493128,1095
