feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_35_avg,0.041785062044088724,0.041785062044088724,0.0,0.041785062044088724,0.041785062044088724,0.041785062044088724,0.041785062044088724,1.0,1,1.0,1,0.03099814486540461,0.03099814486540461,0.0,0.03099814486540461,0.03099814486540461,0.03099814486540461,0.03099814486540461,1.0,1,1.0
sensor_31_avg,0.0413332468566835,0.0413332468566835,0.0,0.0413332468566835,0.0413332468566835,0.0413332468566835,0.0413332468566835,1.0,1,1.0,1,0.040041207686146725,0.040041207686146725,0.0,0.040041207686146725,0.040041207686146725,0.040041207686146725,0.040041207686146725,1.0,1,1.0
sensor_51,0.04126666168798859,0.04126666168798859,0.0,0.04126666168798859,0.04126666168798859,0.04126666168798859,0.04126666168798859,1.0,1,1.0,1,0.03998020401311513,0.03998020401311513,0.0,0.03998020401311513,0.03998020401311513,0.03998020401311513,0.03998020401311513,1.0,1,1.0
sensor_37_avg,0.0412554378668265,0.0412554378668265,0.0,0.0412554378668265,0.0412554378668265,0.0412554378668265,0.0412554378668265,1.0,1,1.0,1,0.03171555160498337,0.03171555160498337,0.0,0.03171555160498337,0.03171555160498337,0.03171555160498337,0.03171555160498337,1.0,1,1.0
sensor_39_avg,0.03814131085858221,0.03814131085858221,0.0,0.03814131085858221,0.03814131085858221,0.03814131085858221,0.03814131085858221,1.0,1,1.0,1,0.025898426399463874,0.025898426399463874,0.0,0.025898426399463874,0.025898426399463874,0.025898426399463874,0.025898426399463874,1.0,1,1.0
sensor_31_min,0.033674468676627635,0.033674468676627635,0.0,0.033674468676627635,0.033674468676627635,0.033674468676627635,0.033674468676627635,1.0,1,1.0,1,0.04943179839777932,0.04943179839777932,0.0,0.04943179839777932,0.04943179839777932,0.04943179839777932,0.04943179839777932,1.0,1,1.0
sensor_42_avg_sin,0.0325143793361865,0.0325143793361865,0.0,0.0325143793361865,0.0325143793361865,0.0325143793361865,0.0325143793361865,1.0,1,1.0,1,0.03952312905607635,0.03952312905607635,0.0,0.03952312905607635,0.03952312905607635,0.03952312905607635,0.03952312905607635,1.0,1,1.0
power_30_max,-0.031840502687632055,-0.031840502687632055,0.0,-0.031840502687632055,-0.031840502687632055,0.031840502687632055,0.031840502687632055,1.0,1,1.0,1,-0.04166455584398041,-0.04166455584398041,0.0,-0.04166455584398041,-0.04166455584398041,0.04166455584398041,0.04166455584398041,1.0,1,1.0
sensor_1_avg_sin,0.03156857462998567,0.03156857462998567,0.0,0.03156857462998567,0.03156857462998567,0.03156857462998567,0.03156857462998567,1.0,1,1.0,1,0.043335742837567116,0.043335742837567116,0.0,0.043335742837567116,0.043335742837567116,0.043335742837567116,0.043335742837567116,1.0,1,1.0
reactive_power_27_std,-0.030373751402424803,-0.030373751402424803,0.0,-0.030373751402424803,-0.030373751402424803,0.030373751402424803,0.030373751402424803,1.0,1,1.0,1,-0.040508044108219975,-0.040508044108219975,0.0,-0.040508044108219975,-0.040508044108219975,0.040508044108219975,0.040508044108219975,1.0,1,1.0
