dataset,feature,pb_r,pb_p_value,pb_significant,sp_rho,sp_p_value,sp_significant,n_pairs
event_72.csv,sensor_18_max,0.03107608272901021,4.883990152580781e-13,True,0.036375969941205524,2.6275847335081094e-17,True,54082
event_72.csv,sensor_18_min,0.03757965525552845,2.285406126465573e-18,True,0.03918445019778872,7.806018345847643e-20,True,54082
event_72.csv,sensor_18_std,-0.010951102811488186,0.010872965918316152,True,-0.018513903437158554,1.6640051044260053e-05,True,54082
event_72.csv,sensor_19_avg,0.2303002924063418,0.0,True,0.22262652126709542,0.0,True,54082
event_72.csv,sensor_20_avg,0.16954160726183962,0.0,True,0.15880698025060097,2.361059038135489e-302,True,54082
event_72.csv,sensor_21_avg,0.1536776765569122,4.797338742798347e-283,True,0.13738205343275697,4.338145486311967e-226,True,54082
event_72.csv,sensor_22_avg,0.004425427873029835,0.3034147063367875,False,0.01829582803861497,2.0900153154724488e-05,True,54082
event_72.csv,sensor_23_avg,0.03440659733785011,1.208103498724154e-15,True,0.04044669320482337,4.9741982446794004e-21,True,54082
event_72.csv,sensor_24_avg,0.03405514380383136,2.3405685827163127e-15,True,0.039549723011034335,3.5500543166874926e-20,True,54082
event_72.csv,sensor_25_avg,0.033963656855679626,2.777258595853624e-15,True,0.039545511698783585,3.5825971578928915e-20,True,54082
event_72.csv,sensor_26_avg,-0.006096005294041575,0.15629613841184536,False,-0.006115838104297069,0.15495327689707272,False,54082
event_72.csv,reactive_power_27_avg,0.02914565511198614,1.2079130974050815e-11,True,0.02988408835922018,3.6245671446932775e-12,True,54082
event_72.csv,reactive_power_27_max,0.035617030811077324,1.1774349823344649e-16,True,0.03356749068717797,5.7955259065427544e-15,True,54082
event_72.csv,reactive_power_27_min,0.031968398662705746,1.0366102228421039e-13,True,0.03520947229053291,2.6013891286912515e-16,True,54082
event_72.csv,reactive_power_27_std,0.010578755152273828,0.013887575141219273,True,0.0155631416774438,0.00029525529344080444,True,54082
event_72.csv,reactive_power_28_avg,-0.03397196623498362,2.734490658165843e-15,True,-0.031801171628372815,1.3905136217369482e-13,True,54082
event_72.csv,reactive_power_28_max,-0.03373087918225398,4.283261160390601e-15,True,-0.03605666077022339,4.9573064499318285e-17,True,54082
event_72.csv,reactive_power_28_min,-0.03555112139689228,1.339285195131282e-16,True,-0.03854933092036336,3.020022320052229e-19,True,54082
event_72.csv,reactive_power_28_std,0.014400389775998453,0.0008110842188322148,True,0.016085125867902294,0.00018340777214666983,True,54082
