feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
wind_speed_3_std,0.0032907685232226075,0.017737821626952234,0.06099564897910853,-0.116818652056599,0.0990875870289071,0.050244362643646207,0.045250624414125154,0.5909090909090909,20,0.9090909090909091,22,-0.006604422716871817,-0.002086800755429139,0.06346835441924276,-0.11924992022594974,0.10182189439024293,0.056148733779053,0.04546133888814769,0.5,22,1.0
sensor_25_avg,-0.01940927982746005,-0.0011969475062467965,0.06417290239753025,-0.15924694366229453,0.06120822453463707,0.048316176976973255,0.03695177868372723,0.5,18,0.8181818181818182,22,-0.04214845887068965,-0.0244542407600453,0.07865653331172238,-0.2276393651543328,0.05183510753320039,0.05950193581994323,0.03846318551204777,0.6818181818181818,19,0.8636363636363636
sensor_23_avg,-0.01893134230441232,-0.001569525339285953,0.06372006924849283,-0.15751017843234472,0.061529510170108624,0.048138969673062706,0.03680953767867069,0.5,19,0.8636363636363636,22,-0.040934724911845605,-0.026484511004873902,0.07709763983238886,-0.22157781521406908,0.05280296315582058,0.05881827479521544,0.03781193333326169,0.6818181818181818,19,0.8636363636363636
sensor_24_avg,-0.020226837203583137,-0.0028530574683031645,0.06391183331628097,-0.16009208614658105,0.059157717619210605,0.04803323568885518,0.03666214404867721,0.5,18,0.8181818181818182,22,-0.04318138091793095,-0.02424103123510693,0.07918644336344582,-0.231891255619438,0.051866556409914694,0.05954531419009473,0.0376488320151227,0.6818181818181818,20,0.9090909090909091
sensor_45,-0.018605227108851652,-0.002078564216496985,0.06280053203552818,-0.15510090192535647,0.06161475798695655,0.04748705179745394,0.03575342828846876,0.5,18,0.8181818181818182,22,-0.040925221081869585,-0.02882255640806146,0.06344813318739805,-0.1907114431261176,0.048645725884771056,0.05370574062744727,0.03430162356769102,0.7727272727272727,21,0.9545454545454546
power_30_avg,-0.018914040353633817,-0.0027404527675951576,0.06255451567771664,-0.15495473236221738,0.060794214736259296,0.04727378820078753,0.03572407587480603,0.5,18,0.8181818181818182,22,-0.038410571861325335,-0.03581620535691392,0.05095446410227916,-0.15050529051619682,0.04564282773379652,0.050669913875610754,0.03688480975924184,0.7727272727272727,20,0.9090909090909091
sensor_50,-0.018870216322686553,-0.002680205624119895,0.06256315246445764,-0.15495464692676836,0.060795480494938034,0.04726980489457277,0.03573482145586211,0.5,18,0.8181818181818182,22,-0.03840042286998621,-0.03573414033104162,0.05096290267603929,-0.15059532457734254,0.045693653823661626,0.05065434803307605,0.03683059671425898,0.7727272727272727,20,0.9090909090909091
sensor_32_avg,0.04036625112951154,0.033476525090619214,0.03871224377996714,-0.02297593875898299,0.11269061040726766,0.044319033583184834,0.033476525090619214,0.9090909090909091,19,0.8636363636363636,22,0.03855400092015326,0.03718046652012552,0.035037887187196665,-0.023930265233219748,0.10444767954226847,0.0426685420204558,0.03718046652012552,0.9090909090909091,20,0.9090909090909091
power_30_min,-0.005993188173444674,0.01328170448068133,0.05819305734005704,-0.13048341348697418,0.0696979957327373,0.04398401014781951,0.03533250552780333,0.5454545454545454,20,0.9090909090909091,22,-0.02610697475555751,-0.03259062552248426,0.04264614344062358,-0.09844528187741679,0.049312578933637614,0.04417027335318107,0.03845462575015989,0.7272727272727273,22,1.0
sensor_1_avg_cos,-0.004570950331697724,-0.013084606785798958,0.05417177224451392,-0.07968918916537092,0.09802468424570997,0.042647826731242865,0.03405040382565658,0.6363636363636364,20,0.9090909090909091,22,0.0023003966846203944,0.0009838586723115504,0.05264462494644294,-0.07668332483741011,0.09944707500784962,0.04041723213764628,0.027842780073380854,0.5,19,0.8636363636363636
power_29_std,-0.021696732245319705,-0.0179619353395446,0.04439078557398708,-0.08804974183031164,0.0632586465030979,0.04075882817567099,0.047732859196166016,0.7272727272727273,18,0.8181818181818182,22,-0.02282051591247777,-0.02055073879678143,0.045312639357349443,-0.1001472267081995,0.06229523622417012,0.0428554745018329,0.04946385563582138,0.6818181818181818,19,0.8636363636363636
sensor_31_min,0.028682968536546723,0.014555307281350977,0.05241114871713118,-0.038859866887773944,0.1456911289343864,0.03886975132841544,0.022262352206995323,0.7272727272727273,17,0.7727272727272727,22,0.04308641201108937,0.021264331873508034,0.07052418525592802,-0.04576881604899833,0.20884904668413304,0.05315982554708348,0.029887002206307918,0.7727272727272727,18,0.8181818181818182
yaw_misalignment_abs,0.013854037794850666,0.00540615462319546,0.043751481114946644,-0.05921911105745342,0.10305985373244944,0.0357355408455276,0.03130575522363921,0.5454545454545454,18,0.8181818181818182,22,-0.014799688711888564,-0.0013450203589799488,0.05124981469242904,-0.11683615384940517,0.060654950811140335,0.038104536653379074,0.026050240278140596,0.5909090909090909,18,0.8181818181818182
