score,quantile,threshold,precision,recall,f1,pr_auc,roc_auc,predicted_window_count
last_72_mean_l2,0.85,10.792593145370484,0.3937296416938111,0.3863363963244107,0.38999798346440817,0.45510540592515514,0.5663538848948566,2456
last_24_mean_l2,0.85,11.038088893890379,0.4017278617710583,0.3715541350379545,0.386052303860523,0.4549979906523429,0.5607601500403663,2315
max_feature_mse,0.85,148.34242248535156,0.44432773109243695,0.33799440671194564,0.38393464942137506,0.4622687030412328,0.5897173493475174,1904
p95_timestep_l2,0.8,27.799664134979217,0.38596491228070173,0.3779464642429085,0.38191360516754136,0.4564534387761156,0.5650667755017688,2451
p95_timestep_l2,0.85,31.125673046112038,0.4176646706586826,0.334398721534159,0.3714222320834258,0.4564534387761156,0.5650667755017688,2004
p95_timestep_l2,0.9,34.57565952301025,0.4914134742404227,0.2972433080303636,0.3704256908140403,0.4564534387761156,0.5650667755017688,1514
mean_abs,0.925,0.7575710922479629,0.5248332097850259,0.28286056731921694,0.367601246105919,0.4608980963921612,0.5607259901375772,1349
last_72_mean_l2,0.9,12.006740188598632,0.41787190082644626,0.3232121454254894,0.3644965082225726,0.45510540592515514,0.5663538848948566,1936
p95_timestep_l2,0.925,36.2558977484703,0.523168908819133,0.2796644027167399,0.36448841447539704,0.4564534387761156,0.5650667755017688,1338
mean_l2,0.9,11.467217445373535,0.3942398489140699,0.33359968038353977,0.36139363774074873,0.44192127835826844,0.5654496426167412,2118
mean_mse,0.9,3.6049469232559215,0.5237003058103975,0.27367159408709546,0.3594856992915245,0.46558801333404787,0.5894341999035887,1308
top5_feature_mse,0.9,45.71129226684571,0.5265625,0.2692768677586896,0.3563309542690986,0.4666273964727874,0.5948046565349722,1280
mean_l2,0.925,12.34065763950348,0.43312101910828027,0.29884139033160206,0.3536643026004728,0.44192127835826844,0.5654496426167412,1727
last_24_mean_l2,0.9,12.713308715820316,0.42342857142857143,0.29604474630443467,0.34845991065130494,0.4549979906523429,0.5607601500403663,1750
max_feature_mse,0.9,202.7959899902344,0.5313028764805414,0.2508989212944467,0.34084124830393486,0.4622687030412328,0.5897173493475174,1182
max_timestep_l2,0.85,50.44625911712646,0.6256742179072277,0.2317219336795845,0.33819241982507287,0.5118991749593585,0.6266096381779848,927
last_72_mean_l2,0.925,12.806151986122135,0.4301675977653631,0.27686775868957253,0.33689839572192515,0.45510540592515514,0.5663538848948566,1611
mean_l2,0.95,13.55049920082092,0.49264136328427577,0.2540950858969237,0.3352662098049552,0.44192127835826844,0.5654496426167412,1291
mean_abs,0.95,0.7908956319093704,0.5577281191806331,0.23931282461046743,0.3349175286552977,0.4608980963921612,0.5607259901375772,1074
max_timestep_l2,0.9,68.1948944091797,0.6733167082294265,0.21574111066719937,0.3267776096822995,0.5118991749593585,0.6266096381779848,802
p95_timestep_l2,0.95,39.57166071891783,0.6074561403508771,0.22133439872153415,0.32445095168374816,0.4564534387761156,0.5650667755017688,912
last_24_mean_l2,0.925,14.169120621681216,0.45494186046511625,0.2500998801438274,0.322763598865687,0.4549979906523429,0.5607601500403663,1376
top5_feature_mse,0.925,57.70792856216432,0.6017601760176018,0.21853775469436676,0.32063305978898005,0.4666273964727874,0.5948046565349722,909
mean_mse,0.925,4.59108580350876,0.60250569476082,0.21134638433879344,0.3129251700680272,0.46558801333404787,0.5894341999035887,878
max_feature_mse,0.925,247.2701972961429,0.5968468468468469,0.21174590491410308,0.31259215570628135,0.4622687030412328,0.5897173493475174,888
mean_l2,0.975,15.132692766189571,0.5528898582333697,0.20255693168198163,0.2964912280701754,0.44192127835826844,0.5654496426167412,917
last_72_mean_l2,0.95,14.436525678634643,0.47127468581687615,0.20974830203755493,0.29029582526956044,0.45510540592515514,0.5663538848948566,1114
last_24_mean_l2,0.95,16.263241481781005,0.503461918892186,0.20335597283260087,0.2896983494593056,0.4549979906523429,0.5607601500403663,1011
